rotation,text,confidence,bbox
0,ミツヤ代タ木,0.7984,"[[451.0, 970.0], [1811.0, 914.0], [1820.0, 1131.0], [460.0, 1187.0]]"
0,33762263,0.9857,"[[608.0, 2373.0], [1624.0, 2248.0], [1637.0, 2355.0], [622.0, 2480.0]]"
90,ミツヤ代マ木,0.9025,"[[499.0, 805.0], [776.0, 794.0], [834.0, 2226.0], [557.0, 2236.0]]"
90,33762263,0.9992,"[[1851.0, 1003.0], [1980.0, 988.0], [2108.0, 2037.0], [1980.0, 2052.0]]"
180,33762263,0.9604,"[[624.0, 672.0], [1649.0, 547.0], [1662.0, 651.0], [638.0, 776.0]]"
180,ミツセ代マ木,0.7458,"[[438.0, 1902.0], [1808.0, 1843.0], [1818.0, 2061.0], [448.0, 2120.0]]"
270,ミツヤ代々木,0.8528,"[[1444.0, 812.0], [1711.0, 803.0], [1765.0, 2224.0], [1498.0, 2234.0]]"
270,3376,0.9994,"[[167.0, 1001.0], [280.0, 988.0], [355.0, 1572.0], [241.0, 1586.0]]"
270,263,1.0,"[[243.0, 1693.0], [369.0, 1677.0], [414.0, 2017.0], [288.0, 2033.0]]"
