Image,Total_Boxes,Retained_Boxes,Average_Confidence
tr_img_06164,14,14,0.9104
tr_img_06165,17,17,0.8264
tr_img_06166,1,1,0.8064
tr_img_06167,16,16,0.9913
tr_img_06168,4,4,0.8541
tr_img_06169,3,3,0.8445
tr_img_06170,32,32,0.9388
tr_img_06171,9,9,0.9923
tr_img_06172,2,2,0.9977
tr_img_06173,6,6,0.8369
tr_img_06174,1,1,0.5533
tr_img_06175,0,0,0.0000
tr_img_06176,9,9,0.9380
tr_img_06177,4,4,0.9940
tr_img_06178,4,4,0.9975
tr_img_06179,8,8,0.9166
tr_img_06180,9,9,0.9799
tr_img_06181,10,10,0.9145
tr_img_06182,16,16,0.9615
tr_img_06183,8,8,0.8647
tr_img_06184,2,2,0.9274
tr_img_06185,82,82,0.8828
tr_img_06186,0,0,0.0000
tr_img_06187,10,10,0.8755
tr_img_06188,5,5,0.9433
tr_img_06189,3,3,0.8359
tr_img_06190,31,31,0.9477
tr_img_06191,6,6,0.6407
tr_img_06192,5,5,0.8660
tr_img_06193,0,0,0.0000
tr_img_06194,4,4,0.9033
tr_img_06195,4,4,0.9846
tr_img_06196,6,6,0.8814
tr_img_06197,9,9,0.9236
tr_img_06198,19,19,0.9717
tr_img_06199,15,15,0.8111
tr_img_06200,2,2,0.9801
tr_img_06201,1,1,0.7957
tr_img_06202,4,4,0.9572
tr_img_06203,1,1,0.6019
tr_img_06204,11,11,0.8437
tr_img_06205,1,1,0.6104
tr_img_06206,10,10,0.9856
tr_img_06207,7,7,0.8257
tr_img_06208,3,3,0.9911
tr_img_06209,46,46,0.8572
tr_img_06210,5,5,0.8362
tr_img_06211,25,25,0.9019
tr_img_06212,2,2,0.9290
tr_img_06213,25,25,0.9070
tr_img_06214,2,2,0.8974
tr_img_06215,13,13,0.9816
tr_img_06216,4,4,0.9059
tr_img_06217,10,10,0.7925
tr_img_06218,4,4,0.9113
tr_img_06219,0,0,0.0000
tr_img_06220,2,2,0.9232
tr_img_06221,2,2,0.9945
tr_img_06222,4,4,0.9335
tr_img_06223,1,1,0.5221
