Image,Total_Boxes,Retained_Boxes,Average_Confidence
tr_img_06803,4,4,0.9916
tr_img_06804,11,11,0.8575
tr_img_06805,3,3,0.9202
tr_img_06806,2,2,0.9119
tr_img_06807,1,1,0.6932
tr_img_06808,2,2,0.8136
tr_img_06809,4,4,0.8544
tr_img_06810,0,0,0.0000
tr_img_06811,3,3,0.9663
tr_img_06812,3,3,0.9894
tr_img_06813,3,3,0.7872
tr_img_06814,2,2,0.7667
tr_img_06815,3,3,0.8822
tr_img_06816,2,2,0.7710
tr_img_06817,2,2,0.6651
tr_img_06818,4,4,0.9308
tr_img_06819,20,20,0.9255
tr_img_06820,2,2,0.7088
tr_img_06821,7,7,0.9190
tr_img_06822,8,8,0.7762
tr_img_06823,2,2,0.9888
tr_img_06824,4,4,0.8422
tr_img_06825,3,3,0.9363
tr_img_06826,5,5,0.8369
tr_img_06827,37,37,0.9524
tr_img_06828,9,9,0.7732
tr_img_06829,7,7,0.8032
tr_img_06830,3,3,0.9760
tr_img_06831,10,10,0.9372
tr_img_06832,1,1,0.6632
tr_img_06833,3,3,0.8865
tr_img_06834,30,30,0.9468
tr_img_06835,10,10,0.9352
tr_img_06836,6,6,0.8471
tr_img_06837,4,4,0.9459
tr_img_06838,3,3,0.8653
tr_img_06839,2,2,0.7778
tr_img_06840,2,2,0.9818
tr_img_06841,2,2,0.9553
tr_img_06842,5,5,0.7670
tr_img_06843,4,4,0.9425
tr_img_06844,2,2,0.9847
tr_img_06845,8,8,0.9610
tr_img_06846,68,68,0.8743
tr_img_06847,2,2,0.9858
tr_img_06848,7,7,0.8128
tr_img_06849,0,0,0.0000
tr_img_06850,4,4,0.8708
tr_img_06851,3,3,0.9902
tr_img_06852,2,2,0.8204
tr_img_06853,9,9,0.8082
tr_img_06854,18,18,0.9290
tr_img_06855,2,2,0.7882
tr_img_06856,3,3,0.8099
tr_img_06857,2,2,0.9965
tr_img_06858,2,2,0.9771
tr_img_06859,5,5,0.7506
tr_img_06860,10,10,0.9779
tr_img_06861,11,11,0.9330
tr_img_06862,5,5,0.7151
tr_img_06863,4,4,0.7931
tr_img_06864,0,0,0.0000
tr_img_06865,2,2,0.9442
tr_img_06866,4,4,0.9548
tr_img_06867,11,11,0.9516
tr_img_06868,28,28,0.9184
tr_img_06869,1,1,0.7879
tr_img_06870,2,2,0.6458
tr_img_06871,12,12,0.9413
tr_img_06872,7,7,0.9967
tr_img_06873,7,7,0.9072
tr_img_06874,5,5,0.7740
tr_img_06875,10,10,0.8955
tr_img_06876,1,1,0.5599
tr_img_06877,6,6,0.9150
tr_img_06878,27,27,0.9278
tr_img_06879,2,2,0.5816
tr_img_06880,3,3,0.9198
tr_img_06881,1,1,0.9733
tr_img_06882,2,2,0.9596
tr_img_06883,29,29,0.9811
tr_img_06884,5,5,0.6127
tr_img_06885,11,11,0.9290
tr_img_06886,2,2,0.9133
tr_img_06887,2,2,0.6985
tr_img_06888,1,1,0.9992
tr_img_06889,8,8,0.9500
tr_img_06890,14,14,0.9013
tr_img_06891,0,0,0.0000
tr_img_06892,0,0,0.0000
tr_img_06893,2,2,0.9324
tr_img_06894,0,0,0.0000
tr_img_06895,2,2,0.8434
tr_img_06896,46,46,0.9536
tr_img_06897,16,16,0.9321
tr_img_06898,1,1,0.9974
tr_img_06899,3,3,0.9994
tr_img_06900,1,1,0.7728
tr_img_06901,3,3,0.8976
tr_img_06902,3,3,0.9396
tr_img_06903,29,29,0.9461
tr_img_06904,4,4,0.9724
tr_img_06905,4,4,0.7692
tr_img_06906,11,11,0.9702
tr_img_06907,10,10,0.9114
tr_img_06908,10,10,0.7381
tr_img_06909,4,4,0.8453
tr_img_06910,4,4,0.9996
tr_img_06911,1,1,0.7049
tr_img_06912,4,4,0.9913
tr_img_06913,0,0,0.0000
tr_img_06914,5,5,0.9673
tr_img_06915,6,6,0.8558
tr_img_06916,5,5,0.9394
tr_img_06917,2,2,0.6294
tr_img_06918,4,4,0.7300
tr_img_06919,4,4,0.9041
tr_img_06920,6,6,0.9095
tr_img_06921,3,3,0.7128
tr_img_06922,6,6,0.8248
tr_img_06923,2,2,0.9628
tr_img_06924,2,2,0.9886
tr_img_06925,8,8,0.8185
tr_img_06926,2,2,0.9048
tr_img_06927,0,0,0.0000
tr_img_06928,3,3,0.9923
tr_img_06929,7,7,0.9048
tr_img_06930,0,0,0.0000
tr_img_06931,3,3,0.9502
tr_img_06932,4,4,0.9711
tr_img_06933,4,4,0.7534
tr_img_06934,2,2,0.9955
tr_img_06935,4,4,0.8091
tr_img_06936,18,18,0.9184
tr_img_06937,7,7,0.8631
tr_img_06938,1,1,0.7846
tr_img_06939,8,8,0.9325
tr_img_06940,4,4,0.8861
tr_img_06941,5,5,0.9867
tr_img_06942,0,0,0.0000
tr_img_06943,3,3,0.8397
tr_img_06944,5,5,0.8705
tr_img_06945,3,3,0.9157
tr_img_06946,7,7,0.9106
tr_img_06947,2,2,0.9359
tr_img_06948,3,3,0.9983
tr_img_06949,0,0,0.0000
tr_img_06950,6,6,0.9208
tr_img_06951,31,31,0.9112
tr_img_06952,5,5,0.9153
tr_img_06953,3,3,0.9098
tr_img_06954,18,18,0.8950
tr_img_06955,2,2,0.7952
tr_img_06956,3,3,0.6190
tr_img_06957,2,2,0.9237
tr_img_06958,2,2,0.7142
tr_img_06959,5,5,0.9079
tr_img_06960,16,16,0.8961
tr_img_06961,4,4,0.9950
tr_img_06962,1,1,0.5121
tr_img_06963,20,20,0.7754
tr_img_06964,3,3,0.9906
tr_img_06965,4,4,0.9906
tr_img_06966,9,9,0.9632
tr_img_06967,4,4,0.7446
tr_img_06968,2,2,0.9833
tr_img_06969,13,13,0.8979
tr_img_06970,6,6,0.9529
tr_img_06971,6,6,0.7198
tr_img_06972,2,2,0.7830
tr_img_06973,1,1,0.8448
tr_img_06974,0,0,0.0000
tr_img_06975,0,0,0.0000
tr_img_06976,5,5,0.8831
tr_img_06977,11,11,0.9019
tr_img_06978,21,21,0.9581
tr_img_06979,5,5,0.8324
tr_img_06980,3,3,0.8638
tr_img_06981,4,4,0.9980
tr_img_06982,68,68,0.9389
tr_img_06983,4,4,0.7629
tr_img_06984,3,3,0.8697
tr_img_06985,2,2,0.8505
tr_img_06986,3,3,0.9084
tr_img_06987,6,6,0.8692
tr_img_06988,1,1,0.9998
tr_img_06989,2,2,0.9945
tr_img_06990,2,2,0.9480
tr_img_06991,3,3,0.6742
tr_img_06992,1,1,0.9878
tr_img_06993,7,7,0.9342
tr_img_06994,10,10,0.9443
tr_img_06995,2,2,0.8921
tr_img_06996,5,5,0.8995
tr_img_06997,1,1,0.6692
tr_img_06998,5,5,0.9919
tr_img_06999,8,8,0.9454
tr_img_07000,0,0,0.0000
